name,mz,rt,Size_3_3,Size_3_1,Size_3_2,Size_5_1,Size_1_2,Size_4_2,Size_2_2,Size_2_3,Size_6_2,Size_1_3,Size_4_1,Size_2_1,Size_1_1,Size_6_1,Size_5_2
M832T107_NEG,831.5033944,106.8752975,4988266.738,3305374.96,2221243.369,3042516.428,5620607.443,3134677.861,1764647.076,2373606.098,8725910.919,2975734.553,1213754.039,3260364.781,1988605.601,1778505.421,2239040.409
M833T106_NEG,832.5072242,105.9885139,2144321.895,1390132.313,764716.8476,1014717.589,2210433.961,1362252.187,866285.5357,1033263.745,4099238.503,981586.8387,513437.8511,1503258.273,1039126.525,991070.2189,557108.5321
M834T106_NEG,833.5195985,106.3841171,69886319.34,67560540.67,67491191.28,102217089.5,77004501.98,101581477.8,83520655.26,78709337.69,145646422.7,91023571.86,44473518.69,163323693.9,34741665.45,51017853.49,60387616.02
M834T430_NEG,834.2739262,429.8486328,12176163.87,32019050.43,40140639.71,62791196.73,16728160.66,25085735.78,68062716.59,87277618.61,42823903.73,26443935.25,21956761.31,35391025.66,28604764.82,29530664.53,40336222.09
M835T106_NEG,834.5233959,106.3841171,33979103.99,30300345.1,32195589.93,46022589.42,34371755.88,47344090.95,38377961.42,34902766.99,68633263.72,42560254.04,20498469.92,74524074.59,16396188.4,23453096.06,27857265.48
M835T430_NEG,835.277498,430.0533142,4265692.678,10974303.14,14991538.35,18706669.76,6106189.24,9349953.006,13629291.31,28316164.59,26650212.89,8743228.404,9286663.684,17660099.56,7872897.366,18358649.17,10953827.72
M836T107_NEG,835.5259666,106.8752975,9476697.616,9147588.952,9630199.199,15044707.26,10933516.38,13721320.01,12232258.18,10379753.81,19397080.84,12339772.82,5309531.185,21914659.1,4120454.453,5917030.383,7663724.62
M836T531_NEG,836.2508632,530.8321228,27939468.02,33658688.48,32225418.36,63053010.89,17444641.81,19615540.83,27208706.14,38350875.1,19533934.57,18286798.56,15911122.87,19353937.31,23342661.07,25642319.16,74787519.59
M836T430_NEG,836.2747638,429.9036255,1232925.549,6520706.154,6312316.44,7267893.18,1590211.28,3533050.639,5856863.031,11253917.76,4490941.17,2101753.881,3281697.004,8486339.648,3512775.669,9923330.237,8726964.106
M836T1077_NEG,836.3027337,1076.95929,13548503.91,20899074.15,19879456.28,28766991.59,23268427.94,18872003.87,24414326.12,23358604.77,19906615.14,21934104.73,27026126.47,27650731.26,22455340.7,19308795.81,14533480.77
M836T964_NEG,836.3019356,963.7786255,40814605.03,35164108.56,30663100.47,24342808.23,40024022.37,82419896.03,34002832.2,41612210.04,62075475.67,30955351.97,28877342.51,34300530.77,24207186.1,25386760.51,29666724.46
